Gloss,Prediction,Target
[STATEMENT] 누가 갑자기 쓰러지다,어떤 사람이 갑자기 쓰러지신 것 같아요.,사람이 갑자기 쓰러졌어요.
[STATEMENT] 지하철 안 불 피해 심하다,지하철 안에 불에 유독하다면서요.,지하철 역 안에서 화재가 발생했어요.
[STATEMENT] 누가 건물 추락,어떤 사람이 건물에 추락하고 있어요.,어떤 사람이 건물에서 추락했어요.
[STATEMENT] 몸 손묶다 갇히다,이 주소로 가주세요.,몸이 결박 당해있어요.
[STATEMENT] 위 집 불,위층에 불이 났어요.,윗집에 불이 났어요.
[STATEMENT] 전지 몸 자극,전지 몸에게 자극을 주려고 해요.,감전 사고가 났어요.
[STATEMENT] 아기 갑자기 토하다,아기가 갑자기 의식을 잃었어요.,아기가 갑자기 토해요.
[STATEMENT] 배 아프다,배도 아프다면서요.,복통이 심해요
[STATEMENT] 아프다 참다 불가능,아파서 참을 수 없다면서요.,아파서 못 참을것 같아요.
[STATEMENT] 무릎 인대 상처,무릎에 상처가 났어요.,무릎 인대를 다친 것 같아요.
[STATEMENT] 아프다,아픕다 아프다면서요.,너무 아파요.
[STATEMENT] 운전 빨리,운전하다 빠르다.,빨리 가주세요.
[STATEMENT] 항상,항상 안전하세요.,늘 그렇습니다.
[QUESTION] 항상,항상 안전하세요?요?,늘 그런가요?
[STATEMENT] 원래,원래 원래던 곳으로 가주세요.,원래 그렇습니다.
[QUESTION] 원래,원래 원래요?,원래 그런가요?
[STATEMENT] 밤 12시 후 돈 추가,밤 12시시에 잔돈이 추가되었다.,심야 할증 요금이 적용됩니다.
[QUESTION] 밤 12시 후 돈 추가,밤 12시시에 돈 추가할 수 있나요?,심야 할증 요금이 적용되나요?
[STATEMENT] 안되다,안되습니다.,안 됩니다.
[QUESTION] 안되다,안되나요?,안되나요?
[STATEMENT] 도착 아직,아직 멀니다.,아직 도착 안 했습니다.
[QUESTION] 도착 아직,도착하나요?,아직 도착 안 했나요?
[STATEMENT] 신분증,신분증입니다.,주민등록증입니다.
[QUESTION] 신분증,신분증선을 탈 수 있나요?,주민등록증 있으세요?
[QUESTION] 한달 누적사용 내역 보여주다,누적 사용 내역을 알려드릴까요?,정기권 사용 내역을 보여드릴까요?
[QUESTION] 도움받다 가능,도와드릴실 수 있나요?,도와주실 수 있으세요?
[STATEMENT] 택시 문자보내다 나,콜을 부르세요.,제가 콜을 불렀습니다.
[STATEMENT] 역무원 부르다,제가 역무원을 불렀습니다.,제가 역무원을 불렀습니다.
[QUESTION] 역무원 부르다,역무원 부르셨나요?,역무원을 불러드릴까요?
[QUESTION] 지하철 철로 물건 떨어지다,선로에 떨어뜨리셨나요?,선로에 물건을 떨어뜨리셨나요?
[STATEMENT] 좌회전 차내리다,좌회전 해 주세요.,좌회전하고 내려주세요.
[QUESTION] 좌회전 차내리다,좌회전 해드릴까요?,좌회전해서 내려드릴까요?
[STATEMENT] 지름길 차내리다,지름길로 가주세요.,골목 들어가서 세워주세요.
[QUESTION] 지름길 차내리다,지름길로 갈까요?,골목 들어가서 내려드릴까요?
[QUESTION] 강남 가다 목적 지하철 갈아타다 몇호,강남역으로 가려면 몇호선으로 갈아타?,강남역으로 가려면 몇호선으로 갈아타야 하나요?
[QUESTION] 지하철 갈아타다 몇호,몇 호에서 몇 호선을 탈 수 있나?,몇 호선으로 갈아타야 하나요?
[STATEMENT] 지하철 반대 건너다 가다,지하철역류장 지나서 내려주세요.,반대편 승차장으로 가려고 합니다.
[STATEMENT] 아이 실종 찾다 도움받다,아이를 잃어버렸습니다.,아이를 잃어버렸습니다. 도와주세요.
[QUESTION] 배 아프다,배에 아프나요?,배가 아프세요?
[STATEMENT] 지하철 철로 물건 떨어지다,선로에 물건들이 떨어졌어요.,선로에 물건을 떨어뜨렸습니다.
