dataset,video_num,question_w_q_morph,question,Gloss level Korean Sign Language (GKSL) sentence,Word level Korean Language (WKL) sentence
KETI-Emergency,,,FALSE,집 불,집에 불이 났어요.
KETI-Emergency,,,FALSE,집 도둑 넘어오다,집에 도둑이 들어왔어요.
KETI-Emergency,,,FALSE,누가 교통사고,어떤 사람이 교통사고를 당했어요.
KETI-Emergency,,,FALSE,먹다 중간 목 실수 삼키다,식사를 하다가 목에 음식이 걸렸어요.
KETI-Emergency,,,FALSE,홍수 집 물 채우다,홍수가 나서 집이 물에 잠기고 있어요.
KETI-Emergency,,,FALSE,엘리베이터 갑자기 멈추다,엘리베이터가 갑자기 중간에 멈췄어요.
KETI-Emergency,,,FALSE,누가 자살 중,어떤 사람이 자살을 시도하고 있어요.
KETI-Emergency,,,FALSE,누가 바다 빠지다 헤엄치다,어떤 사람이 바다에 빠졌어요.
KETI-Emergency,,,FALSE,바다 가깝다 곳 상어 오다,해안가에 상어가 나타났어요.
KETI-Emergency,,,FALSE,바다 가깝다 곳 해파리 오다,해안가에 해파리가 나타났어요.
KETI-Emergency,,,FALSE,물건 깔리다 몸 움직 불가능,주변 구조물이 무너져서 몸이 끼었어요. 몸을 움직이지 못하겠어요.
KETI-Emergency,,,FALSE,주변 폭탄,근처에서 폭탄이 터졌어요.
KETI-Emergency,,,FALSE,할머니 갑자기 쓰러지다,할머니가 갑자기 쓰러지셨어요
KETI-Emergency,,,FALSE,누가 갑자기 쓰러지다,사람이 갑자기 쓰러졌어요.
KETI-Emergency,,,FALSE,개 뼈 뼈다귀 삼키다,강아지가 뼈를 삼켰어요.
KETI-Emergency,,,FALSE,아기 장난감 먹다 삼키다,아기가 장난감을 삼켰어요.
KETI-Emergency,,,FALSE,고속도로 자동차 갑자기 멈추다,고속도로에서 자동차가 갑자기 멈췄어요.
KETI-Emergency,,,FALSE,배 침몰,배가 침몰하고 있어요.
KETI-Emergency,,,FALSE,낯선 뒤 쫓아오다,이상한 사람이 저를 쫓아와요
KETI-Emergency,,,FALSE,뒤 쫓아오다 느낌,쫓아오는 것 같아요.
KETI-Emergency,,,FALSE,누가 집단폭력,어떤 사람이 집단폭력을 당하고 있어요.
KETI-Emergency,,,FALSE,누가 칼 가지다,어떤 사람이 무기/흉기를 소지하고 있어요.
KETI-Emergency,,,FALSE,주변 건물 붕괴,근처에 있는 건물이 붕괴되고 있어요.
KETI-Emergency,,,FALSE,지하철 안 불 피해 심하다,지하철 역 안에서 화재가 발생했어요.
KETI-Emergency,,,FALSE,불 상처,화상을 입었어요.
KETI-Emergency,,,FALSE,친구 먹다 중간 흰 네모 자르다 먹다 실수,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요.
KETI-Emergency,,,FALSE,친구 전기 몸 자극 ,친구가 감전 사고를 당했어요.
KETI-Emergency,,,FALSE,친구 쉼쉬다 안되다,친구가 숨을 안 쉬는 것 같아요.
KETI-Emergency,,,FALSE,차 안 강아지 방치 두다,차 안에 강아지가 방치되어있어요.
KETI-Emergency,,,FALSE,누가 잡다,어떤 사람한테 납치당했어요.
KETI-Emergency,,,FALSE,산 뱀 물다,산에서 뱀에게 물렸어요.
KETI-Emergency,,,FALSE,개 미치다 병 물다,광견병에 걸린 개에게 물렸어요.
KETI-Emergency,,,FALSE,누가 건물 추락,어떤 사람이 건물에서 추락했어요.
KETI-Emergency,,,FALSE,눈 물건 더럽다 들어오다,눈에 이물질이 들어갔어요.
KETI-Emergency,,,FALSE,동굴 무너지다 감히다,터널이 무너져 갇혔어요.
KETI-Emergency,,,FALSE,어디 연기 불 느끼다,어디선가 연기가 나요. 불이 나고 있는 것 같아요.
KETI-Emergency,,,FALSE,물 강 빠르다 서다 넘어지다 ,급류에 친구가 휩쓸렸어요.
KETI-Emergency,,,FALSE,비행기 추락,비행기가 추락하고 있어요.
KETI-Emergency,,,FALSE,누가 거리 곳 피 머리 흐르다,어떤 사람이 길거리에서 피를 많이 흘리고 있어요.
